id,bcr,aou_52,commonname,scientificname,introduced,bd_g,bd_g_s,bd_g_area,bd_g_com,globalpopest,ps_g,ps_g_s,ps_g_com1,ps_g_com2,ps_g_com3,pt_r,pt_r_s,pt_r_com,tb_r,tb_r_s,tb_r_com,rd_b,rd_b_s,rd_b_com,ppop,ppop_s,substshared,rcs_b,rc,ucc,tnc,tnc_group,cbsd,action,rs,ucs
239.0,,,landbird,Caprimulgiformes,Caprimulgidae,,1,1,1,1.0,M,,,,3,1800000.0,PIF BBS-based calculation 2016.  PIF CAW 2016,Crashing in North America.Brad Jacobs says all caprimulgids have declined greatly. (CAW);.  Whip-poor-will split in 2011,1.0,1;800;000,rounded BBS-based calc,,2,2772111,,,3,882960.0,Natureserve 3.0,,3,PIFTC-02,DD='does not breed in highly altered landscapes.'  BNA supports that modified habitats not suitable; but information on habitat needs and threats to those is largely lacking.,3,PIFTC-02,DD='no information available.'  Not much information for wintering areas.  poorly known but winters in tropical forest regions (KVR)
240.0,,,landbird,Caprimulgiformes,Caprimulgidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,5391,,,5,5391.0,NatureServe,,3,PIF CAW 2014,la cambia climático puede afectar la disponibilidad de insectos,3,PIF CAW 2014,
241.0,,,landbird,Caprimulgiformes,Caprimulgidae,,0,1,1,1.0,PM,,,,4,180000.0,PIF BBS-based calculation 2016,Whip-poor-will split in 2011; updated score from PIFSC,1.0,35;000,rounded BBS-based calc,,3,733259,,,3,789528.0,Natureserve 3.0,,3,Panjabi,avg of BCR scores.,3,Panjabi,
249.0,,,landbird,Nyctibiiformes,Nyctibiidae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi,,,,,,3,781439,,,3,781439.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,tropical lowland forest
250.0,,,landbird,Apodiformes,Apodidae,,1,1,1,1.0,M,,,,4,210000.0,PIF BBS-based calculation 2016.  PIF CAW 2016,Could be FEWER? (CAW);,1.0,74;000,rounded BBS-based calc,,2,1306962,,Added 32;000 km2; Colorado Range underestimated by 50% (A. Panjabi),2,1900000.0,PIFSC-08,presumed winter range is from s venezuela through the andes; western amazon basin and western bolivia (Nat Geo Complete Birds of North America); actual range may be much smaller; based on returns of geolocators from CO-breeding birds  Ken comment: Replace,4,PIFSC-Dec-08,climate change and reduced; later snowmelt could be problematic for breeding habitat in mountains; CB-rock and ice climbing other recreation (CAFS); mining; one egg only (COPIF); highly specialized habt.; nest sites are inaccessible and relatively secure,3,PIFTC-02,probably not threatened in winter? (KR); CB- not known in winter; but widespread.  as far as we know; uses native tropical forests and may depend on specific sites or habitats; very poorly known; thus specific threats unknown (CB; KVR; WE; TW; DP)
252.0,,,landbird,Apodiformes,Apodidae,,0,0,0,1.0,M,,,,5,,PIF CAW 2016,poorly known (CAW);,,,,,4,289456,,,4,123438.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
253.0,,,landbird,Apodiformes,Apodidae,,0,0,0,1.0,M,,,,5,,PIF CAW 2016,,,,,,5,3539,,,5,3539.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
257.0,,,landbird,Apodiformes,Apodidae,,1,1,1,1.0,M,,,,2,7700000.0,PIF BBS-based calculation 2016.  PIF CAW 2016,Crashing in North America. (CAW);,1.0,7;700;000,rounded BBS-based calc,,1,5185119,,,3,1540838.0,Ken Rosenberg 2016,Reduced by 2/3rds; S.A. (winter) range in Birds of the World 1/3 the area shown in NS map.  Agree with '3' for nd.  (Ken Rosenberg),4,PIFSC-15,DD=are nest sites the limiting factor and are they that limiting to warrant TB 3?.  Threats increasing due to continued loss of nesting structures in urban areas; and whatever is causing declines of aerial insectivores (KVR); Camfield;Alaine [NCR]: Listed,3,PIFTC-02,probably not threatened in winter? (KR); unknown threats; and birds possibly localized?
263.0,,,landbird,Apodiformes,Apodidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,13110,,,5,13110.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
273.0,,,landbird,Apodiformes,Apodidae,,0,0,1,1.0,R,,,,5,,Gomez-Panjabi,,,,,,3,368094,,,3,368094.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,no information
